x, y, z
-1.0382,1.32839,-1.00453
-0.912992,1.38154,-0.998567
-0.945021,1.38619,-1.12063
-1.03293,1.34122,-1.13161
-0.424946,1.52372,-1.29723
-0.275941,1.59867,-1.38013
-0.308325,1.5557,-1.42794
-0.40719,1.50931,-1.36985
0.174809,1.69144,-1.77038
0.087173,1.66294,-1.75257
0.103818,1.74836,-1.6455
0.170225,1.75829,-1.66153
0.756337,1.56684,-1.87827
0.787284,1.64799,-1.7572
0.907224,1.56185,-1.78583
0.888288,1.48487,-1.87581
0.79631,1.26236,-2.23949
0.673313,1.33759,-2.25384
0.720331,1.43701,-2.0764
0.852282,1.35505,-2.07394
0.312778,1.53289,-2.02078
0.26683,1.42695,-2.19599
0.204135,1.43933,-2.14382
0.220344,1.54797,-1.97442
-0.120363,1.34474,-1.96457
-0.154212,1.39316,-1.80951
-0.103994,1.45864,-1.79104
-0.71373,1.22499,-1.60362
-0.664148,1.26976,-1.5408
-0.580914,1.27224,-1.58004
-0.653733,1.14153,-1.80643
-0.414454,1.09775,-2.38651
-0.530649,1.05813,-2.36763
-0.603755,1.08662,-2.04685
-0.48505,1.1373,-2.04666
0.037766,1.22707,-2.53561
-0.072944,1.21417,-2.42363
-0.103884,1.26612,-2.17095
0.014282,1.30413,-2.2449
0.693598,1.1469,-2.61165
0.579884,1.21029,-2.62666
0.621965,1.27775,-2.41832
0.744963,1.20252,-2.40397
0.602938,1.02376,-3.121
0.513086,1.06264,-3.20938
0.52526,1.14092,-2.88417
0.638974,1.07753,-2.86916
0.034525,1.13047,-3.2317
-0.12456,1.11877,-3.22824
-0.183002,1.1181,-2.84272
-0.514786,1.0104,-2.80948
-0.435283,1.01199,-3.22229
-0.497492,0.916777,-3.19363
-0.591565,0.899078,-2.80506
-0.191112,1.11869,-3.9136
-0.268473,1.07674,-3.93197
-0.315318,1.06542,-3.58436
-0.220185,1.10413,-3.57596
0.382858,1.01679,-3.90498
0.248245,1.09969,-3.88393
0.227175,1.10945,-3.56779
0.390028,1.06366,-3.57212
-0.141278,1.13096,-4.24407
-0.108643,1.14283,-4.58797
-0.1647,1.11411,-4.67749
-0.218639,1.08901,-4.26244
0.064323,1.15201,-4.31804
0.100951,1.14995,-4.71482
0.038263,1.16253,-4.59488
0.029402,1.15808,-4.31554
0.280598,1.10743,-5.2261
0.31691,1.07832,-5.26945
0.124163,1.0848,-5.21776
0.220567,1.12878,-5.21521
0.175304,0.816897,-5.25538
0.313109,1.05439,-4.7702
0.276797,1.0835,-4.60166
0.2358,1.088,-4.23236
-0.240756,1.0571,-5.26215
-0.179975,1.10764,-5.23856
-0.132984,1.07634,-5.26129
-0.279237,1.01323,-5.15323
-0.198979,1.0979,-5.15234
-0.186904,1.1063,-5.1643
-0.247685,1.05576,-5.18789
0.50351,0.850314,-4.62955
0.508653,0.867023,-4.23531
0.588041,0.719904,-4.2076
0.557161,0.742528,-4.65243
0.618467,0.393047,-3.84034
0.634339,0.55719,-3.83887
0.684396,0.531204,-3.47009
0.65215,0.34857,-3.42947
0.75712,0.659743,-3.09756
0.765283,0.779857,-3.05676
0.825678,0.787178,-2.80299
0.826852,0.660569,-2.7531
0.273253,1.07582,-0.491483
0.311678,1.0236,-0.491592
0.285154,1.08186,-0.488239
0.301282,0.99728,-0.506668
-0.708588,1.40242,-0.852318
-0.662355,1.33708,-0.780936
-0.559191,1.3215,-0.740499
-0.515959,1.36567,-0.73568
